Iteration,ExecutionTime (ms)
1,75.62470436096191
2,71.80237770080566
3,104.87115383148193
4,74.2567777633667
5,60.08327007293701
6,79.19061183929443
7,75.84822177886963
8,74.2335319519043
9,74.05149936676025
10,73.84335994720459
11,71.1972713470459
12,69.75281238555908
13,82.1009874343872
14,74.25284385681152
15,74.34368133544922
16,81.81774616241455
17,81.06708526611328
18,73.27473163604736
19,76.35104656219482
20,82.86774158477783
21,77.68785953521729
22,75.46734809875488
23,79.20563220977783
24,79.9030065536499
25,108.14130306243896
26,93.45889091491699
27,80.41763305664062
28,92.61631965637207
29,82.99469947814941
30,73.49216938018799
31,84.02538299560547
32,74.59402084350586
33,81.30955696105957
34,102.4857759475708
35,77.45110988616943
36,77.97539234161377
37,74.06008243560791
38,69.77677345275879
39,79.31864261627197
40,73.44603538513184
41,87.1514081954956
42,73.61268997192383
43,83.84084701538086
44,77.60453224182129
45,84.10978317260742
46,74.11801815032959
47,85.17944812774658
48,80.22129535675049
49,82.88276195526123
50,75.97482204437256
51,75.54852962493896
52,79.3619155883789
53,83.229660987854
54,86.22515201568604
55,79.07402515411377
56,88.40417861938477
57,81.21371269226074
58,83.38844776153564
59,78.17494869232178
60,79.02073860168457
61,71.25842571258545
62,75.2112865447998
63,69.42737102508545
64,79.70380783081055
65,74.80967044830322
66,69.93985176086426
67,77.64387130737305
68,74.5471715927124
69,80.00493049621582
70,77.21614837646484
71,84.71953868865967
72,79.39839363098145
73,76.47013664245605
74,91.92359447479248
75,71.44796848297119
76,67.89636611938477
77,67.67141819000244
78,69.41771507263184
79,127.64203548431396
80,79.28109169006348
81,69.2603588104248
82,73.09842109680176
83,70.2817440032959
84,78.01938056945801
85,76.12180709838867
86,73.27795028686523
87,76.69472694396973
88,85.59322357177734
89,79.02324199676514
90,78.21285724639893
91,72.63851165771484
92,78.0630111694336
93,79.26928997039795
94,76.39431953430176
95,70.69516181945801
96,73.24182987213135
97,85.62397956848145
98,66.03920459747314
99,88.78970146179199
100,71.29311561584473
101,78.18424701690674
102,79.98168468475342
103,70.77240943908691
104,80.14798164367676
105,74.32901859283447
106,77.48186588287354
107,72.21829891204834
108,69.04435157775879
109,76.1110782623291
110,74.68593120574951
111,74.12230968475342
112,81.10857009887695
113,82.40211009979248
114,74.4856595993042
115,83.76431465148926
116,71.02382183074951
117,68.62986087799072
118,81.85207843780518
119,76.47907733917236
120,77.06952095031738
121,78.45854759216309
122,73.29082489013672
123,76.74765586853027
124,74.85759258270264
125,70.83678245544434
126,102.30588912963867
127,77.3552656173706
128,70.29283046722412
129,70.78099250793457
130,76.78377628326416
131,70.49095630645752
132,70.04964351654053
133,74.75745677947998
134,73.48644733428955
135,84.31720733642578
136,73.6459493637085
137,66.31958484649658
138,80.07574081420898
139,57.918548583984375
140,52.496910095214844
141,56.04958534240723
142,58.59088897705078
143,82.01587200164795
144,73.6016035079956
145,73.18997383117676
146,79.80680465698242
147,76.6897201538086
148,80.41834831237793
149,78.06229591369629
150,82.11207389831543
151,77.90780067443848
152,78.90880107879639
153,77.75759696960449
154,82.40211009979248
155,73.02439212799072
156,78.26578617095947
157,73.48108291625977
158,81.21764659881592
159,69.87226009368896
160,79.41877841949463
161,74.3715763092041
162,84.27751064300537
163,82.62062072753906
164,74.00214672088623
165,76.73978805541992
166,78.2918930053711
167,99.43270683288574
168,75.29318332672119
169,77.42035388946533
170,73.7982988357544
171,79.77855205535889
172,81.1007022857666
173,81.17294311523438
174,79.54931259155273
175,69.98133659362793
176,71.69759273529053
177,70.1901912689209
178,74.55039024353027
179,72.52907752990723
180,75.4537582397461
181,58.05516242980957
182,75.7359266281128
183,78.54115962982178
184,78.88877391815186
185,100.94153881072998
186,84.1909646987915
187,85.86537837982178
188,72.49438762664795
189,78.45067977905273
190,68.5654878616333
191,74.74958896636963
192,77.15857028961182
193,89.36619758605957
194,76.94506645202637
195,74.69844818115234
196,77.91531085968018
197,101.04954242706299
198,78.79471778869629
199,72.61133193969727
200,75.0499963760376
201,81.05063438415527
202,76.41899585723877
203,75.58178901672363
204,82.36098289489746
205,71.08068466186523
206,84.72776412963867
207,77.92282104492188
208,74.16379451751709
209,75.09434223175049
210,80.0478458404541
211,113.45493793487549
212,87.49222755432129
213,84.3275785446167
214,84.15234088897705
215,74.30219650268555
216,73.71389865875244
217,73.86624813079834
218,83.3977460861206
219,76.39539241790771
220,77.42142677307129
221,71.5184211730957
222,74.01323318481445
223,77.9428482055664
224,76.75623893737793
225,82.91959762573242
226,75.50239562988281
227,72.91281223297119
228,79.22852039337158
229,74.75030422210693
230,74.40876960754395
231,71.77484035491943
232,83.6942195892334
233,94.8110818862915
234,162.51862049102783
235,121.63317203521729
236,85.21664142608643
237,131.95645809173584
238,84.08582210540771
239,74.92554187774658
240,80.5821418762207
241,77.39889621734619
242,74.55325126647949
243,77.46362686157227
